id,label,file name,thumbnail,space,filter,type
INF_5SHELF_RH#0,"INFRAME, DOOR RH, 5 SHELVES INSET",FRM_INF_0062.skp,FRM_INF_0062.jpg,all,tall,in-frame
INF_5DRW_O#0,"INFRAME, 5 DRAWER, SHELF",FRM_INF_0063.skp,FRM_INF_0063.jpg,all,tall,in-frame
INF_4DRAW_O#0,"INFRAME, 4 DRAWER, SHELF",FRM_INF_0064.skp,FRM_INF_0064.jpg,all,tall,in-frame
INFO_3DRAW_O#0,"INFRAME, 3 DRAWER, SHELF",FRM_INF_0065.skp,FRM_INF_0065.jpg,all,tall,in-frame
INFO_2DRAW_O#0,"INFRAME, 2 DRAWER, SHELF",FRM_INF_0066.skp,FRM_INF_0066.jpg,all,tall,in-frame
INFW_3DRW HANGING_O#0,"INFRAME, 3 DRAWER, HANGING, SHELF ",FRM_INF_0067.skp,FRM_INF_0067.jpg,wardrobe,tall,in-frame
INFW_3DRW_HANGING_L#0,"INFRAME, 3 DRAWER, DOOR LH HALF HANGING, OPEN SHELF ",FRM_INF_0068.skp,FRM_INF_0068.jpg,wardrobe,tall,in-frame
INFW_3DRWHANGINGLR#0,"INFRAME, 3 DRAWER, DOOR LR HALF HANGING, SHELF ",FRM_INF_0069.skp,FRM_INF_0069.jpg,wardrobe,tall,in-frame
INFW_3DRWHANGING_R#0,"INFRAME, 3 DRAWER, DOOR RH HALF HANGING, SHELF ",FRM_INF_0070.skp,FRM_INF_0070.jpg,wardrobe,tall,in-frame
INFW_2DRW_HANGING#0,"INFRAME, 2 DRAWER, HANGING, SHELF ",FRM_INF_0071.skp,FRM_INF_0071.jpg,wardrobe,tall,in-frame
INFW_2DRW_HANGING_L#0,"INFRAME, 3 DRAWER, DOOR LH HALF HANGING, SHELF ",FRM_INF_0072.skp,FRM_INF_0072.jpg,wardrobe,tall,in-frame
INFW_2DRWHANGINGLR#0,"INFRAME, 3 DRAWER, DOOR LR HALF HANGING, SHELF ",FRM_INF_0073.skp,FRM_INF_0073.jpg,wardrobe,tall,in-frame
INFW_2DRWHANGING_R#0,"INFRAME, 3 DRAWER, DOOR RH HALF HANGING, SHELF ",FRM_INF_0074.skp,FRM_INF_0074.jpg,wardrobe,tall,in-frame
INF_DRWABV_4DRW#0,IN FRAME DRAWER ABOVE 4 DRAWERS ,FRM_INF_0075.skp,FRM_INF_0075.jpg,kitchen,base,in-frame
INF_FXDABV_4DRW#0,INFRAME FIXED PANEL ABOVE 4 DRAWERS,FRM_INF_0076.skp,FRM_INF_0076.jpg,kitchen,base,in-frame
INF_POPTRAY_STKD#0,IN FRAME POP OUT TRAY STACKED ,FRM_INF_0077.skp,FRM_INF_0077.jpg,kitchen,base,in-frame
INF_POPTRAY_STKD_DRAWER#0,IN FRAME DRAWER ABOVE POP OUT TRAY STACKED ,FRM_INF_0078.skp,FRM_INF_0078.jpg,kitchen,base,in-frame
INF_DRABVDR_LR#0,IN FRAME DRAWER  ABOVE DOOR LR ,FRM_INF_0086.skp,FRM_INF_0086.jpg,kitchen,base,in-frame
INF_DRABVDR_RH#0,IN FRAME DRAWER  ABOVE DOOR RH,FRM_INF_0087.skp,FRM_INF_0087.jpg,kitchen,base,in-frame
INF_DRABVDR_LH#0,IN FRAME DRAWER  ABOVE DOOR LH,FRM_INF_0088.skp,FRM_INF_0088.jpg,kitchen,base,in-frame
INF_FXDBVDR_LR#0,IN FRAME FIXED PANEL ABOVE DOOR LR,FRM_INF_0089.skp,FRM_INF_0089.jpg,kitchen,base,in-frame
INF_FXDABVDR_RH#0,IN FRAME FIXED PANEL ABOVE DOOR RH,FRM_INF_0090.skp,FRM_INF_0090.jpg,kitchen,base,in-frame
INF_FXDABVDR_LH#0,IN FRAME FIXED PANEL ABOVE DOOR LH,FRM_INF_0091.skp,FRM_INF_0091.jpg,kitchen,base,in-frame
INF_DR5DRW_IH_LH#0,"INFRAME, DOOR LH, 5 DRAWER, INSET HANGING ",FRM_INF_0092.skp,FRM_INF_0092.jpg,wardrobe,tall,in-frame
INF_DR5DRW_IH_LR#0,"INFRAME, DOOR LR, 5 DRAWER, INSET ",FRM_INF_0093.skp,FRM_INF_0093.jpg,wardrobe,tall,in-frame
INF_DR5DRW_IH_RH#0,"INFRAME, DOOR RH, 5 DRAWER, INSET ",FRM_INF_0094.skp,FRM_INF_0094.jpg,wardrobe,tall,in-frame
INF_DR4DRW_IH_LH#0,"INFRAME, DOOR LH, 4 DRAWER, INSET ",FRM_INF_0095.skp,FRM_INF_0095.jpg,wardrobe,tall,in-frame
INF_DR4DRW_IH_LR#0,"INFRAME, DOOR LR, 4 DRAWER, INSET ",FRM_INF_0096.skp,FRM_INF_0096.jpg,wardrobe,tall,in-frame
INF_DR5DRW_IH_RH#0,"INFRAME, DOOR RH, 4 DRAWER, INSET ",FRM_INF_0097.skp,FRM_INF_0097.jpg,wardrobe,tall,in-frame
INF_DR3DRW_IH_LH#0,"INFRAME, DOOR LH, 3 DRAWER, INSET ",FRM_INF_0098.skp,FRM_INF_0098.jpg,wardrobe,tall,in-frame
INF_DR3DRW_IH_LR#0,"INFRAME, DOOR LR, 3 DRAWER, INSET ",FRM_INF_0099.skp,FRM_INF_0099.jpg,wardrobe,tall,in-frame
INF_DR3DRW_IH_RH#0,"INFRAME, DOOR RH, 3 DRAWER, INSET ",FRM_INF_0100.skp,FRM_INF_0100.jpg,wardrobe,tall,in-frame
INF_DR2DRW_IH_LH#0,"INFRAME, DOOR LH, 2 DRAWER, INSET ",FRM_INF_0101.skp,FRM_INF_0101.jpg,wardrobe,tall,in-frame
INF_DR2DRW_IH_LR#0,"INFRAME, DOOR LR, 2 DRAWER, INSET ",FRM_INF_0102.skp,FRM_INF_0102.jpg,wardrobe,tall,in-frame
INF_DR2DRW_IH_RH#0,"INFRAME, DOOR RH, 2 DRAWER, INSET ",FRM_INF_0103.skp,FRM_INF_0103.jpg,wardrobe,tall,in-frame
